codigo_boya,nombre_boya,tipo_boya,fecha,Hs_media_diaria_m,Hs_maxima_diaria_m,observaciones_diarias
1103,Bilbao costera,Costera,2012-08-16,1.42,1.85,24
1103,Bilbao costera,Costera,2012-08-17,1.05,1.33,19
1103,Bilbao costera,Costera,2012-08-18,0.9,0.99,24
1103,Bilbao costera,Costera,2012-08-19,0.89,0.98,24
1103,Bilbao costera,Costera,2012-08-20,0.88,1.1,24
1103,Bilbao costera,Costera,2012-08-21,0.83,1.0,24
1103,Bilbao costera,Costera,2012-08-22,0.83,0.97,24
1103,Bilbao costera,Costera,2012-08-23,0.91,1.17,24
1103,Bilbao costera,Costera,2012-08-24,0.78,1.31,24
1103,Bilbao costera,Costera,2012-08-25,1.9,2.38,24
1103,Bilbao costera,Costera,2012-08-26,1.6,2.09,24
1103,Bilbao costera,Costera,2012-08-27,0.86,1.08,24
1103,Bilbao costera,Costera,2012-08-28,0.91,1.51,24
1103,Bilbao costera,Costera,2012-08-29,1.1,1.5,24
1103,Bilbao costera,Costera,2012-08-30,1.71,2.19,24
1103,Bilbao costera,Costera,2012-08-31,1.63,1.96,24
1103,Bilbao costera,Costera,2012-09-01,1.05,1.29,24
1103,Bilbao costera,Costera,2012-09-02,0.79,0.98,24
1103,Bilbao costera,Costera,2012-09-03,1.11,1.24,24
1103,Bilbao costera,Costera,2012-09-04,0.93,1.09,24
1103,Bilbao costera,Costera,2012-09-05,0.8,1.03,24
1103,Bilbao costera,Costera,2012-09-06,1.3,1.82,24
1103,Bilbao costera,Costera,2012-09-07,0.99,1.35,24
1103,Bilbao costera,Costera,2012-09-08,0.6,0.76,24
1103,Bilbao costera,Costera,2012-09-09,0.58,0.74,24
1103,Bilbao costera,Costera,2012-09-10,0.75,1.09,24
1103,Bilbao costera,Costera,2012-09-11,1.11,1.31,24
1103,Bilbao costera,Costera,2012-09-12,1.06,1.4,24
1103,Bilbao costera,Costera,2012-09-13,1.76,2.19,24
1103,Bilbao costera,Costera,2012-09-14,1.14,1.63,24
1103,Bilbao costera,Costera,2012-09-15,1.27,1.73,24
1103,Bilbao costera,Costera,2012-09-16,1.48,1.78,24
1103,Bilbao costera,Costera,2012-09-17,1.24,1.41,24
1103,Bilbao costera,Costera,2012-09-18,1.69,2.08,24
1103,Bilbao costera,Costera,2012-09-19,1.89,2.12,24
1103,Bilbao costera,Costera,2012-09-20,1.24,1.55,24
1103,Bilbao costera,Costera,2012-09-21,0.8,1.01,23
1103,Bilbao costera,Costera,2012-09-22,0.62,0.79,24
1103,Bilbao costera,Costera,2012-09-23,0.47,0.86,24
1103,Bilbao costera,Costera,2012-09-24,2.49,3.76,23
1103,Bilbao costera,Costera,2012-09-25,2.26,2.77,24
1103,Bilbao costera,Costera,2012-09-26,2.1,2.6,23
1103,Bilbao costera,Costera,2012-09-27,2.09,2.67,24
1103,Bilbao costera,Costera,2012-09-28,1.31,1.81,24
1103,Bilbao costera,Costera,2012-09-29,1.27,1.57,24
1103,Bilbao costera,Costera,2012-09-30,1.74,1.94,24
1103,Bilbao costera,Costera,2012-10-01,1.04,1.33,24
1103,Bilbao costera,Costera,2012-10-02,1.84,2.19,24
1103,Bilbao costera,Costera,2012-10-03,2.06,2.44,24
1103,Bilbao costera,Costera,2012-10-04,2.11,2.57,24
1103,Bilbao costera,Costera,2012-10-05,1.25,1.83,24
1103,Bilbao costera,Costera,2012-10-06,0.83,0.96,24
1103,Bilbao costera,Costera,2012-10-07,0.9,1.16,24
1103,Bilbao costera,Costera,2012-10-08,0.6,0.82,24
1103,Bilbao costera,Costera,2012-10-09,0.57,0.67,24
1103,Bilbao costera,Costera,2012-10-10,0.52,0.62,24
1103,Bilbao costera,Costera,2012-10-11,0.79,1.28,23
